sido,gugun,dong
서울특별시,종로구,청운효자동
서울특별시,종로구,사직동
서울특별시,종로구,삼청동
서울특별시,종로구,부암동
서울특별시,종로구,평창동
서울특별시,종로구,무악동
서울특별시,종로구,교남동
서울특별시,종로구,가회동
서울특별시,종로구,종로1·2·3·4가동
서울특별시,종로구,종로5·6가동
서울특별시,종로구,이화동
서울특별시,종로구,혜화동
서울특별시,종로구,창신1동
서울특별시,종로구,창신2동
서울특별시,종로구,창신3동
서울특별시,종로구,숭인1동
서울특별시,종로구,숭인2동
서울특별시,중구,소공동
서울특별시,중구,회현동
서울특별시,중구,명동
서울특별시,중구,필동
서울특별시,중구,장충동
서울특별시,중구,광희동
서울특별시,중구,을지로동
서울특별시,중구,신당동
서울특별시,중구,다산동
서울특별시,중구,약수동
서울특별시,중구,청구동
서울특별시,중구,신당5동
서울특별시,중구,동화동
서울특별시,중구,황학동
서울특별시,중구,중림동
서울특별시,용산구,후암동
서울특별시,용산구,용산2가동
서울특별시,용산구,남영동
서울특별시,용산구,청파동
서울특별시,용산구,원효로1동
서울특별시,용산구,원효로2동
서울특별시,용산구,효창동
서울특별시,용산구,용문동
서울특별시,용산구,한강로동
서울특별시,용산구,이촌1동
서울특별시,용산구,이촌2동
서울특별시,용산구,이태원1동
서울특별시,용산구,이태원2동
서울특별시,용산구,한남동
서울특별시,용산구,서빙고동
서울특별시,용산구,보광동
서울특별시,성동구,왕십리도선동
서울특별시,성동구,왕십리2동
서울특별시,성동구,마장동
서울특별시,성동구,사근동
서울특별시,성동구,행당1동
서울특별시,성동구,행당2동
서울특별시,성동구,응봉동
서울특별시,성동구,금호1가동
서울특별시,성동구,금호2·3가동
서울특별시,성동구,금호4가동
서울특별시,성동구,옥수동
서울특별시,성동구,성수1가1동
서울특별시,성동구,성수1가2동
서울특별시,성동구,성수2가1동
서울특별시,성동구,성수2가3동
서울특별시,성동구,송정동
서울특별시,성동구,용답동
서울특별시,광진구,중곡1동
서울특별시,광진구,중곡2동
서울특별시,광진구,중곡3동
서울특별시,광진구,중곡4동
서울특별시,광진구,능동
서울특별시,광진구,구의1동
서울특별시,광진구,구의2동
서울특별시,광진구,구의3동
서울특별시,광진구,광장동
서울특별시,광진구,자양1동
서울특별시,광진구,자양2동
서울특별시,광진구,자양3동
서울특별시,광진구,자양4동
서울특별시,광진구,화양동
서울특별시,광진구,군자동
서울특별시,동대문구,용신동
서울특별시,동대문구,제기동
서울특별시,동대문구,전농1동
서울특별시,동대문구,전농2동
서울특별시,동대문구,답십리1동
서울특별시,동대문구,답십리2동
서울특별시,동대문구,장안1동
서울특별시,동대문구,장안2동
서울특별시,동대문구,청량리동
서울특별시,동대문구,회기동
서울특별시,동대문구,휘경1동
서울특별시,동대문구,휘경2동
서울특별시,동대문구,이문1동
서울특별시,동대문구,이문2동
서울특별시,중랑구,면목본동
서울특별시,중랑구,면목2동
서울특별시,중랑구,면목3·8동
서울특별시,중랑구,면목4동
서울특별시,중랑구,면목5동
서울특별시,중랑구,면목7동
서울특별시,중랑구,상봉1동
서울특별시,중랑구,상봉2동
서울특별시,중랑구,중화1동
서울특별시,중랑구,중화2동
서울특별시,중랑구,묵1동
서울특별시,중랑구,묵2동
서울특별시,중랑구,망우본동
서울특별시,중랑구,망우3동
서울특별시,중랑구,신내1동
서울특별시,중랑구,신내2동
서울특별시,성북구,성북동
서울특별시,성북구,삼선동
서울특별시,성북구,동선동
서울특별시,성북구,돈암1동
서울특별시,성북구,돈암2동
서울특별시,성북구,안암동
서울특별시,성북구,보문동
서울특별시,성북구,정릉1동
서울특별시,성북구,정릉2동
서울특별시,성북구,정릉3동
서울특별시,성북구,정릉4동
서울특별시,성북구,길음1동
서울특별시,성북구,길음2동
서울특별시,성북구,종암동
서울특별시,성북구,월곡1동
서울특별시,성북구,월곡2동
서울특별시,성북구,장위1동
서울특별시,성북구,장위2동
서울특별시,성북구,장위3동
서울특별시,성북구,석관동
서울특별시,강북구,삼양동
서울특별시,강북구,미아동
서울특별시,강북구,송중동
서울특별시,강북구,송천동
서울특별시,강북구,삼각산동
서울특별시,강북구,번1동
서울특별시,강북구,번2동
서울특별시,강북구,번3동
서울특별시,강북구,수유1동
서울특별시,강북구,수유2동
서울특별시,강북구,수유3동
서울특별시,강북구,우이동
서울특별시,강북구,인수동
서울특별시,도봉구,쌍문1동
서울특별시,도봉구,쌍문2동
서울특별시,도봉구,쌍문3동
서울특별시,도봉구,쌍문4동
서울특별시,도봉구,방학1동
서울특별시,도봉구,방학2동
서울특별시,도봉구,방학3동
서울특별시,도봉구,창1동
서울특별시,도봉구,창2동
서울특별시,도봉구,창3동
서울특별시,도봉구,창4동
서울특별시,도봉구,창5동
서울특별시,도봉구,도봉1동
서울특별시,도봉구,도봉2동
서울특별시,노원구,월계1동
서울특별시,노원구,월계2동
서울특별시,노원구,월계3동
서울특별시,노원구,공릉1동
서울특별시,노원구,공릉2동
서울특별시,노원구,하계1동
서울특별시,노원구,하계2동
서울특별시,노원구,중계본동
서울특별시,노원구,중계1동
서울특별시,노원구,중계2·3동
서울특별시,노원구,중계4동
서울특별시,노원구,상계1동
서울특별시,노원구,상계2동
서울특별시,노원구,상계3·4동
서울특별시,노원구,상계5동
서울특별시,노원구,상계6·7동
서울특별시,노원구,상계8동
서울특별시,노원구,상계9동
서울특별시,노원구,상계10동
서울특별시,은평구,녹번동
서울특별시,은평구,불광1동
서울특별시,은평구,불광2동
서울특별시,은평구,갈현1동
서울특별시,은평구,갈현2동
서울특별시,은평구,구산동
서울특별시,은평구,대조동
서울특별시,은평구,응암1동
서울특별시,은평구,응암2동
서울특별시,은평구,응암3동
서울특별시,은평구,역촌동
서울특별시,은평구,신사1동
서울특별시,은평구,신사2동
서울특별시,은평구,증산동
서울특별시,은평구,수색동
서울특별시,은평구,진관동
서울특별시,서대문구,충현동
서울특별시,서대문구,천연동
서울특별시,서대문구,북아현동
서울특별시,서대문구,신촌동
서울특별시,서대문구,연희동
서울특별시,서대문구,홍제1동
서울특별시,서대문구,홍제2동
서울특별시,서대문구,홍제3동
서울특별시,서대문구,홍은1동
서울특별시,서대문구,홍은2동
서울특별시,서대문구,남가좌1동
서울특별시,서대문구,남가좌2동
서울특별시,서대문구,북가좌1동
서울특별시,서대문구,북가좌2동
서울특별시,마포구,공덕동
서울특별시,마포구,아현동
서울특별시,마포구,도화동
서울특별시,마포구,용강동
서울특별시,마포구,대흥동
서울특별시,마포구,염리동
서울특별시,마포구,신수동
서울특별시,마포구,서강동
서울특별시,마포구,서교동
서울특별시,마포구,합정동
서울특별시,마포구,망원1동
서울특별시,마포구,망원2동
서울특별시,마포구,연남동
서울특별시,마포구,성산1동
서울특별시,마포구,성산2동
서울특별시,마포구,상암동
서울특별시,양천구,목1동
서울특별시,양천구,목2동
서울특별시,양천구,목3동
서울특별시,양천구,목4동
서울특별시,양천구,목5동
서울특별시,양천구,신월1동
서울특별시,양천구,신월2동
서울특별시,양천구,신월3동
서울특별시,양천구,신월4동
서울특별시,양천구,신월5동
서울특별시,양천구,신월6동
서울특별시,양천구,신월7동
서울특별시,양천구,신정1동
서울특별시,양천구,신정2동
서울특별시,양천구,신정3동
서울특별시,양천구,신정4동
서울특별시,양천구,신정6동
서울특별시,양천구,신정7동
서울특별시,강서구,염창동
서울특별시,강서구,등촌1동
서울특별시,강서구,등촌2동
서울특별시,강서구,등촌3동
서울특별시,강서구,화곡본동
서울특별시,강서구,화곡1동
서울특별시,강서구,화곡2동
서울특별시,강서구,화곡3동
서울특별시,강서구,화곡4동
서울특별시,강서구,화곡6동
서울특별시,강서구,화곡8동
서울특별시,강서구,우장산동
서울특별시,강서구,가양1동
서울특별시,강서구,가양2동
서울특별시,강서구,가양3동
서울특별시,강서구,발산1동
서울특별시,강서구,공항동
서울특별시,강서구,방화1동
서울특별시,강서구,방화2동
서울특별시,강서구,방화3동
서울특별시,구로구,신도림동
서울특별시,구로구,구로1동
서울특별시,구로구,구로2동
서울특별시,구로구,구로3동
서울특별시,구로구,구로4동
서울특별시,구로구,구로5동
서울특별시,구로구,가리봉동
서울특별시,구로구,수궁동
서울특별시,구로구,고척1동
서울특별시,구로구,고척2동
서울특별시,구로구,개봉1동
서울특별시,구로구,개봉2동
서울특별시,구로구,개봉3동
서울특별시,구로구,오류1동
서울특별시,구로구,오류2동
서울특별시,금천구,가산동
서울특별시,금천구,독산1동
서울특별시,금천구,독산2동
서울특별시,금천구,독산3동
서울특별시,금천구,독산4동
서울특별시,금천구,시흥1동
서울특별시,금천구,시흥2동
서울특별시,금천구,시흥3동
서울특별시,금천구,시흥4동
서울특별시,금천구,시흥5동
서울특별시,영등포구,영등포본동
서울특별시,영등포구,영등포동
서울특별시,영등포구,여의동
서울특별시,영등포구,당산1동
서울특별시,영등포구,당산2동
서울특별시,영등포구,도림동
서울특별시,영등포구,문래동
서울특별시,영등포구,양평1동
서울특별시,영등포구,양평2동
서울특별시,영등포구,신길1동
서울특별시,영등포구,신길3동 ·신길4동
서울특별시,영등포구,신길5동
서울특별시,영등포구,신길6동
서울특별시,영등포구,신길7동
서울특별시,영등포구,대림1동
서울특별시,영등포구,대림2동
서울특별시,영등포구,대림3동
서울특별시,동작구,노량진1동
서울특별시,동작구,노량진2동
서울특별시,동작구,상도1동
서울특별시,동작구,상도2동
서울특별시,동작구,상도3동
서울특별시,동작구,상도4동
서울특별시,동작구,흑석동
서울특별시,동작구,사당1동
서울특별시,동작구,사당2동
서울특별시,동작구,사당3동
서울특별시,동작구,사당4동
서울특별시,동작구,사당5동
서울특별시,동작구,대방동
서울특별시,동작구,신대방1동
서울특별시,동작구,신대방2동
서울특별시,관악구,보라매동
서울특별시,관악구,은천동
서울특별시,관악구,성현동
서울특별시,관악구,중앙동
서울특별시,관악구,청림동
서울특별시,관악구,행운동
서울특별시,관악구,청룡동
서울특별시,관악구,낙성대동
서울특별시,관악구,인헌동
서울특별시,관악구,남현동
서울특별시,관악구,신림동
서울특별시,관악구,신사동
서울특별시,관악구,조원동
서울특별시,관악구,미성동
서울특별시,관악구,난곡동
서울특별시,관악구,난향동
서울특별시,관악구,서원동
서울특별시,관악구,신원동
서울특별시,관악구,서림동
서울특별시,관악구,삼성동
서울특별시,관악구,대학동
서울특별시,서초구,서초1동
서울특별시,서초구,서초2동
서울특별시,서초구,서초3동
서울특별시,서초구,서초4동
서울특별시,서초구,잠원동
서울특별시,서초구,반포본동
서울특별시,서초구,반포1동
서울특별시,서초구,반포2동
서울특별시,서초구,반포3동
서울특별시,서초구,반포4동
서울특별시,서초구,방배본동
서울특별시,서초구,방배1동
서울특별시,서초구,방배2동
서울특별시,서초구,방배3동
서울특별시,서초구,방배4동
서울특별시,서초구,양재1동
서울특별시,서초구,양재2동
서울특별시,서초구,내곡동
서울특별시,강남구,신사동
서울특별시,강남구,압구정동
서울특별시,강남구,청담동
서울특별시,강남구,논현1동
서울특별시,강남구,논현2동
서울특별시,강남구,삼성1동
서울특별시,강남구,삼성2동
서울특별시,강남구,대치1동
서울특별시,강남구,대치2동
서울특별시,강남구,대치4동
서울특별시,강남구,역삼1동
서울특별시,강남구,역삼2동
서울특별시,강남구,도곡1동
서울특별시,강남구,도곡2동
서울특별시,강남구,개포1동
서울특별시,강남구,개포2동
서울특별시,강남구,개포4동
서울특별시,강남구,일원본동
서울특별시,강남구,일원1동
서울특별시,강남구,일원2동
서울특별시,강남구,수서동
서울특별시,강남구,세곡동
서울특별시,송파구,풍납1동
서울특별시,송파구,풍납2동
서울특별시,송파구,거여1동
서울특별시,송파구,거여2동
서울특별시,송파구,마천1동
서울특별시,송파구,마천2동
서울특별시,송파구,방이1동
서울특별시,송파구,방이2동
서울특별시,송파구,오륜동
서울특별시,송파구,오금동
서울특별시,송파구,송파1동
서울특별시,송파구,송파2동
서울특별시,송파구,석촌동
서울특별시,송파구,삼전동
서울특별시,송파구,가락본동
서울특별시,송파구,가락1동
서울특별시,송파구,가락2동
서울특별시,송파구,문정1동
서울특별시,송파구,문정2동
서울특별시,송파구,장지동
서울특별시,송파구,위례동
서울특별시,송파구,잠실본동
서울특별시,송파구,잠실2동
서울특별시,송파구,잠실3동
서울특별시,송파구,잠실4동
서울특별시,송파구,잠실6동
서울특별시,송파구,잠실7동
서울특별시,강동구,강일동
서울특별시,강동구,상일동
서울특별시,강동구,명일1동
서울특별시,강동구,명일2동
서울특별시,강동구,고덕1동
서울특별시,강동구,고덕2동
서울특별시,강동구,암사1동
서울특별시,강동구,암사2동
서울특별시,강동구,암사3동
서울특별시,강동구,천호1동
서울특별시,강동구,천호2동
서울특별시,강동구,천호3동
서울특별시,강동구,성내1동
서울특별시,강동구,성내2동
서울특별시,강동구,성내3동
서울특별시,강동구,길동
서울특별시,강동구,둔촌1동
서울특별시,강동구,둔촌2동
